p,t1,t2,t3,t4,t5
1,14.577458,14.579865,14.120483,14.187404,14.124182
2,7.074718,7.074051,7.275541,7.062362,7.087446
3,4.725943,4.897290,4.929485,4.875601,4.723709
4,3.591323,3.602253,3.579329,3.623316,3.581115
5,2.866968,2.883959,2.897076,2.888014,2.965398
6,2.465045,2.470053,2.398793,2.408600,2.401518
7,2.072323,2.074299,2.093236,2.070725,2.064011
8,1.803928,1.859035,1.808324,1.862206,1.822619
9,6.299599,6.246033,6.551293,6.141330,5.845171
10,5.967047,5.985986,6.227454,6.241822,6.213468
11,5.832606,5.982755,5.890047,5.949266,5.892951
12,5.712754,5.631773,5.714179,5.738307,5.726194
13,5.638204,5.507228,5.707822,5.692725,5.531489
14,5.432072,5.475551,5.358085,5.346760,5.450528
15,5.305102,5.375813,5.318696,5.458322,5.451978
16,5.231301,4.157195,4.666130,5.037197,5.053696
