p,t1,t2,t3,t4,t5
1,12.948055,12.963741,13.033484,13.062020,13.000923
2,13.556774,13.261580,13.207538,13.259515,13.764519
3,13.930905,13.563556,13.340086,13.857506,13.955684
4,14.001615,13.486328,13.884311,25.925967,13.849570
5,13.828282,14.102781,14.034103,13.913567,13.761136
6,13.690341,14.265381,13.578104,13.844855,14.554955
7,13.672384,13.984282,14.400180,14.410516,14.018478
8,14.715730,14.594568,14.008275,13.761149,14.966639
9,25.897941,25.845450,25.783232,25.956397,25.961640
10,26.722568,26.258401,26.185903,26.204052,26.243171
11,26.422467,26.590245,26.403916,26.429421,26.588877
12,27.263239,28.187714,27.548039,27.625653,26.645365
13,26.742221,26.929845,26.832154,26.877537,26.756413
14,33.075747,27.095141,27.769896,27.195898,27.212806
15,27.429784,27.854371,27.431347,27.976859,27.524453
16,30.181256,29.763847,29.580601,30.100803,29.450527
